id,question,tier,group,process,level,regulators,permit_types
AIR-001,"Are all fugitive and stack emissions accounted for in the permit application?",generic,air-emissions-accounting,,S,LDEQ,Air
AIR-002,"What are the facility's potential-to-emit figures for each criteria pollutant and total HAPs, and which PSD and Title V major-source thresholds do they cross? If below the thresholds, how close are they?",generic,air-emissions-accounting,,S,LDEQ,Air
AIR-003,"Are the estimated emissions in the permit application realistic? How do they compare to other operating plants?",generic,air-emissions-accounting,,S,LDEQ,Air
AIR-004,"Are emission factors from reputable sources like AP-42? Are the calculations correct?",generic,air-emissions-accounting,,S,LDEQ,Air
AIR-005,"Are there any assumptions made in the permit (e.g., raw material composition, control equipment efficiency)?",generic,air-emissions-accounting,,S,LDEQ,Air
AIR-006,"Are there any performance test data or manufacturer's guarantees to corroborate the assumed control efficiencies?",generic,air-emissions-accounting,,S,LDEQ,Air
AIR-007,"If this is an update to existing emissions, do the projected emissions match real recorded emissions?",generic,air-emissions-accounting,,S,LDEQ,Air
AIR-008,"Are there any portions of industrial processes which are ill-defined in the permit application?",generic,air-emissions-accounting,,S,LDEQ,Air
AIR-009,"Do the emission estimates account for startup, shutdown, and malfunction (SSM) periods and for frequent cycling, or only steady-state full-load operation?",generic,air-emissions-accounting,,S,LDEQ,Air
AIR-010,"How many hours per year of operation do the permit limits assume, and is that capacity factor consistent with how the facility is actually expected to operate?",generic,air-emissions-accounting,,S,LDEQ,Air
AIR-011,"Are emissions from all auxiliary equipment (auxiliary boilers, emergency generators, cooling towers, firewater pumps) captured in the permit?",generic,air-emissions-accounting,,S,LDEQ,Air
AIR-012,"Does the permit include enforceable annual operating-hour or throughput caps that hold the facility to the emission levels modeled, or could it lawfully run more and emit more?",generic,air-emissions-accounting,,S,LDEQ,Air (Part 70)
AIR-013,"What are the estimated emissions and impacts from construction activities (diesel equipment, generators, dust, truck traffic), and are they included in the air permit or covered only under generic construction permits?",generic,air-emissions-accounting,,S,LDEQ,Air
BACT-001,"Does the air-quality modeling rely on Significant Impact Levels (SILs) to screen out a full NAAQS/increment analysis, and if so, how is that justified given the court's disapproval of SIL use in the Rise St. James/Formosa decision?",generic,air-bact-modeling,,S,LDEQ,Air (PSD)
BACT-002,"Does the NAAQS and PSD-increment modeling include background concentrations from surrounding industrial sources, or does it evaluate the facility in isolation?",generic,air-bact-modeling,,S,LDEQ,Air (PSD)
BACT-003,"What is the projected annual CO2-equivalent from all combustion and auxiliary equipment, and how was greenhouse gas BACT addressed?",generic,air-bact-modeling,,S,LDEQ,Air (PSD)
BACT-004,"Are the BACT emission limits written as enforceable, short-averaging-period limits, or as long-term averages that mask short-term spikes?",generic,air-bact-modeling,,S,LDEQ,Air (PSD)
BACT-005,"Does the additional-impacts analysis address effects on soils, vegetation, and visibility, including any impact on the nearest Class I area (e.g., Breton Wilderness)?",generic,air-bact-modeling,,S,LDEQ/FLM,Air (PSD)
MON-001,"Is Leak Detection and Repair (LDAR) for fugitive VOC and methane emissions documented and enforceable in the permit?",generic,air-monitoring,,S,LDEQ,Air
MON-002,"What are the reliability ratings and detection limits of proposed monitoring equipment for each pollutant?",generic,air-monitoring,,S,LDEQ,Air
MON-003,"Does the monitoring plan meet EPA reference method standards or equivalent?",generic,air-monitoring,,S,LDEQ,Air
MON-004,"How frequently will independent third-party verification of emissions and control-system performance be required?",generic,air-monitoring,,S,LDEQ,Air
MON-005,"Will stack testing be required within the first year of operation to verify emission estimates, and how frequently thereafter?",generic,air-monitoring,,S,LDEQ,Air
MON-006,"Which pollutants are monitored by continuous emission monitoring systems (CEMS), and which rely on periodic stack testing or emission factors instead?",generic,air-monitoring,,S,LDEQ,Air (Part 70)
MON-007,"What recordkeeping and public-reporting frequency applies to emissions and deviations, and will reports be posted to EDMS?",generic,air-monitoring,,S,LDEQ,Air (Part 70)
MON-008,"What ambient or emission exceedance levels trigger enforcement, and what sanctions (penalties, mandatory upgrades, curtailment) will apply?",generic,air-monitoring,,S,LDEQ,Air (Part 70)
MON-009,"How often will the agency conduct compliance inspections at the facility, and will inspection reports, notices of violation, and settlements be promptly posted to EDMS?",generic,air-monitoring,,S,LDEQ,Air (Part 70)
MON-010,"Will permanent community-level or fence-line air monitors be installed in nearby neighborhoods, with real-time public data for PM2.5, NO2, ozone precursors, and key toxics?",generic,air-monitoring,,S,LDEQ,Air (Part 70)
MON-011,"Does the permit include adaptive-management provisions to revisit emission limits, monitoring, and environmental justice analyses at each renewal in light of new science, new facilities, or changed community health indicators?",generic,air-monitoring,,S,LDEQ,Air (Part 70)
CUM-001,"How will pollutants emitted into the air deposit into water and soil, and what problems will they cause for wildlife, including aquatic species?",generic,air-cumulative,,S,LDEQ,Air
CUM-002,"Has a comprehensive cumulative impact analysis been conducted that includes all connected, adjacent, or commonly controlled facilities, or is the facility being evaluated in isolation?",generic,air-cumulative,,S,LDEQ,Air
CUM-003,"How will emissions from shared infrastructure between facilities be allocated, monitored, and regulated?",generic,air-cumulative,,S,LDEQ,Air
CUM-004,"What is the combined impact of all nearby facilities on ambient air quality standards?",generic,air-cumulative,,S,LDEQ,Air
CUM-005,"Has a cumulative-impact analysis of air toxics (HAPs) from this facility plus nearby sources been performed, consistent with the cumulative-impact requirement recognized in the Rise St. James decision?",generic,air-cumulative,,S,LDEQ,Air (PSD)
WTR-001,"Has the inspection and maintenance schedule been adequately defined?",generic,water-lpdes,,S,LDEQ,LPDES Construction Stormwater
WTR-002,"Is the Stormwater Pollution Prevention Plan (SWPPP) comprehensive and site-specific?",generic,water-lpdes,,S,LDEQ,LPDES Construction Stormwater
WTR-003,"Is there a proper operations and maintenance plan for the wastewater treatment system?",generic,water-lpdes,,S,LDEQ,Sanitary Wastewater Discharge
WTR-004,"Has the impact of temperature and chemical additives been addressed on hydrostatic test water discharge?",generic,water-lpdes,,S,LDEQ,Hydrostatic Test Water Discharge
WTR-005,"What surface-water and groundwater withdrawals (cooling, process, firewater) are proposed, from which sources, and what maximum daily and annual withdrawal limits are requested?",generic,water-lpdes,,S,LDEQ/LADENR,LPDES / Water Withdrawal
WTR-006,"Does the cooling-water intake comply with Clean Water Act §316(b) for entrainment and impingement of fish and larvae in the source waterbody, and what intake technology is proposed?",generic,water-lpdes,,S,LDEQ,LPDES
WTR-007,"What are the expected temperature, flow, and chemical composition (biocides, corrosion inhibitors, metals, TDS, chlorides) of cooling-water and wastewater discharges, and how do they compare to acute and chronic water-quality criteria for the receiving water?",generic,water-lpdes,,S,LDEQ,LPDES
WTR-008,"Does the LPDES application include a mixing-zone analysis and whole-effluent toxicity (WET) testing, with a defined margin of safety for low-flow and high-temperature conditions?",generic,water-lpdes,,S,LDEQ,LPDES
WTR-009,"How will construction and operational stormwater (including runoff from fuel storage, chemical handling, and laydown yards) be managed, and under which LPDES construction and industrial stormwater permits?",generic,water-lpdes,,S,LDEQ,LPDES Construction Stormwater
WTR-010,"Are any deep-well injections or subsurface discharges planned (brine, process water, wastewater), and what UIC permits and geologic-integrity analyses apply?",generic,water-lpdes,,S,LDEQ/LADENR,UIC
WQC-001,"Have all potential impacts to water quality been identified and addressed?",generic,water-401,,S,LDEQ/USACE,401 Water Quality Certification
WQC-002,"Are there any ways in which this permit does not comply with LAC 33:IX Chapter 11?",generic,water-401,,S,LDEQ,401 Water Quality Certification
WQC-003,"How will stormwater runoff be prevented from carrying pollutants into adjacent wetlands?",generic,water-401,,S,LDEQ,401 Water Quality Certification
WET-001,"When was the most recent wetland delineation completed?",generic,wetlands-404,,S,LADENR/USACE,Wetland / 404
WET-002,"What is the total acreage of wetland impact, broken down by wetland type (emergent, forested, etc.)?",generic,wetlands-404,,S,LADENR/USACE,Wetland / 404
WET-003,"How was the mitigation ratio determined? Does it account for temporal losses and wetland quality/function?",generic,wetlands-404,,S,LADENR/USACE,Wetland / 404
WET-004,"What is the alternatives analysis showing why wetland impacts cannot be avoided or further minimized?",generic,wetlands-404,,S,LADENR/USACE,Wetland / 404
WET-005,"What monitoring requirements will be in place to ensure successful mitigation?",generic,wetlands-404,,S,LADENR/USACE,Wetland / 404
WET-006,"Will wetlands, riparian buffers, or other aquatic resources be filled or altered for the facility or its supporting infrastructure (pipelines, access roads), and what CWA §404/§401 and Coastal Use approvals are sought?",generic,wetlands-404,,F,USACE/LDEQ/OCM,404 / 401 / CUP
CUP-001,"Does the permit fully address how coastal water quality will be impacted? Such as salt water intrusion, changes to local hydrology, and sediment transport?",generic,coastal-cup,,S,LADENR/OCM/USACE,CUP
CUP-002,"What measures are proposed to minimize coastal impacts?",generic,coastal-cup,,S,LADENR/OCM/USACE,CUP
CUP-003,"Has the cumulative impact analysis considered: other existing industrial facilities in the area; projected sea level rise; and coastal erosion trends?",generic,coastal-cup,,S,LADENR/OCM,CUP
CUP-004,"Are there any cultural or historical resources in the project area that require protection or mitigation?",generic,coastal-cup,,S,LADENR/OCM/USACE,CUP
CUP-005,"How will the project affect existing coastal restoration projects or future restoration opportunities in the area?",generic,coastal-cup,,S,LADENR/OCM/CPRA/USACE,CUP / Letter of No Objection
CUP-006,"What long-term monitoring requirements will be in place to ensure compliance with permit conditions?",generic,coastal-cup,,S,LADENR/OCM,CUP
CUP-007,"How many cubic yards of fill will be used for this project and how will that affect flooding?",generic,coastal-cup,,S,LADENR/OCM/USACE,CUP
CUP-008,"Are existing drainage patterns and water regimes of the surrounding area including flow, circulation, quality, quantity, and salinity, as well as impacts on them, discussed in the permit application?",generic,coastal-cup,,S,LADENR/OCM/USACE,CUP
CUP-009,"What's the extent of impacts on existing and traditional uses of the area and on future uses for which the area is suited?",generic,coastal-cup,,S,LADENR/OCM/USACE,CUP
CUP-010,"Does this project demonstrate a ""significant public benefit"" or serve important state/regional/national interests, as required by LCRP guidelines?",generic,coastal-cup,,S,LADENR/USACE,CUP
CUP-011,"Is the project consistent with Louisiana's Comprehensive Master Plan for a Sustainable Coast and any local coastal management plans?",generic,coastal-cup,,S,LADENR/CPRA,CUP
SWS-001,"Does the application include a complete description of total existing land use within 3 miles of the facility (residential, healthcare facilities, schools, agricultural, industrial and manufacturing, other commercial, recreational, and undeveloped) as required by LAC 33:VII.709.5?",generic,solid-waste-siting,,S,LDEQ,Solid Waste
SWS-002,"Has the applicant submitted a current alternative site analysis that evaluates other locations, or does the analysis merely justify the site the applicant already owns?",generic,solid-waste-siting,,S,LDEQ,Solid Waste
SWS-003,"For each requested exemption or alternative (e.g., alternative liner system), has the applicant cited the specific LAC provision and provided technical justification meeting that provision's criteria?",generic,solid-waste-siting,,S,LDEQ,Solid Waste
SWS-004,"Has a needs assessment been performed showing that additional capacity is required in the proposed service area, or is this expansion driven solely by private commercial interest?",generic,solid-waste-siting,,S,LDEQ,Solid Waste
SWS-005,"Does expanding the service area conflict with any regional or parish solid waste management plan?",generic,solid-waste-siting,,L,Parish Council,Solid Waste
SWS-006,"If the service area includes out-of-state sources, what mechanism (contractual, permit condition, or otherwise) actually constrains the geographic origin of waste?",generic,solid-waste-siting,,S,LDEQ,Solid Waste
LFO-001,"What are the most recent Surface Emissions Monitoring (SEM) results for methane and other landfill gases, and how many monitoring points exceed reportable thresholds (e.g., 500 ppm)?",process,landfill-operations,landfill,S,LDEQ,Solid Waste
LFO-002,"If the facility currently exceeds emission limits at multiple monitoring points, what corrective actions have been taken and what evidence demonstrates those actions are working?",process,landfill-operations,landfill,S,LDEQ,Solid Waste
LFO-003,"Will the proposed permit increase intake of waste and therefore increase decomposition rates and emissions of H2S, methane, and VOCs? If so, by how much, and how has this been modeled?",process,landfill-operations,landfill,S,LDEQ,Air / Solid Waste
LFO-004,"How does projected annual tonnage in the solid waste application reconcile with projected tonnage in the facility's most recent air permit application? Are they internally consistent?",process,landfill-operations,landfill,S,LDEQ,Air / Solid Waste
LFO-005,"Is the current odor management plan adequate at present intake levels? How many odor complaints has the facility received in the past 12, 24, and 36 months?",process,landfill-operations,landfill,S,LDEQ,Solid Waste
LFO-006,"Does the odor management plan account for the condition of waste upon arrival (e.g., days-old waste delivered by rail or long-haul truck vs. same-day residential pickup)?",process,landfill-operations,landfill,S,LDEQ,Solid Waste
LFO-007,"Has LDEQ reviewed the facility's solid waste, air, and groundwater permits collectively, or are they being reviewed in isolation despite obvious interdependencies?",process,landfill-operations,landfill,S,LDEQ,Solid Waste
LFO-008,"What landfill gas collection efficiency is being assumed, and is that efficiency supported by recent performance data at this facility?",process,landfill-operations,landfill,S,LDEQ,Solid Waste
LFO-009,"What is the leachate generation rate at current intake, and how will it scale with the proposed increase in waste acceptance?",process,landfill-operations,landfill,S,LDEQ,Solid Waste
LFO-010,"Where is leachate ultimately disposed (e.g., POTW, Class I injection well, on-site treatment), and does the receiving facility have sufficient permitted capacity to absorb the projected increase?",process,landfill-operations,landfill,S,LDEQ,Solid Waste
LFO-011,"Are groundwater monitoring wells placed and sampled at a frequency sufficient to detect releases before they migrate off-site?",process,landfill-operations,landfill,S,LDEQ,Solid Waste / Ground Water
