group,section_title,scope
air-emissions-accounting,Emissions inventory and applicability/netting,"emissions calculations, potential-to-emit figures, and PSD/Title V applicability and netting analysis"
air-bact-modeling,BACT and air dispersion modeling,"control-technology (BACT) analysis and air dispersion / air-quality modeling methodology"
air-cumulative,Cumulative air and deposition impacts,"cross-media deposition and cumulative-source air-quality analysis"
air-monitoring,"Monitoring, recordkeeping, and enforcement","continuous/periodic emissions monitoring, detection limits, LDAR, and enforceable recordkeeping provisions"
applicant-history,Applicant compliance and litigation history,"the application's disclosures and external enforcement/litigation records for the applicant and its affiliates"
ccs-risk,CO2 capture and sequestration risk,"geologic, seismic, and leakage risk specific to CO2 capture and sequestration projects"
climate-resilience,"Flood, hurricane, and climate resilience","facility resilience to extreme weather, flooding, and multi-week disaster scenarios"
coastal-cup,Coastal use and hydrology impacts,"coastal water quality, hydrology, salinity, and Coastal Use Permit requirements"
eas-it-questions,"Environmental Assessment Statement — need, alternatives, cost-benefit","EAS/IT-factor analysis of need, alternatives, cost-benefit, jobs, and site legacy"
ej-cumulative,Cumulative impacts and environmental justice,"cumulative burden on overburdened communities and environmental-justice screening"
emergency-safety,"Process safety, hazmat, and emergency response","process safety, hazardous-materials handling, contingency planning, and emergency response"
financial-assurance,Financial assurance and closure funding,"adequacy of financial assurance instruments for closure and post-closure costs"
gas-power,Gas-fired power generation BACT and alternatives,"combustion-turbine BACT analysis and lower-emitting generation alternatives"
landfill-operations,Landfill operations and gas monitoring,"landfill-specific operational compliance, surface emissions monitoring, and corrective action history"
local-infrastructure,Local infrastructure and waterway impacts,"impacts to and modifications of existing local/USACE infrastructure and waterway users"
public-process,"Public participation, notice, and transparency","public notice, hearing determination, and transparency of the permitting process"
solid-waste-siting,Solid waste facility siting,"land-use description, alternative-site analysis, and siting adequacy for solid waste facilities"
usace-public-interest,USACE public interest review,"USACE Section 404/10 public-interest balancing factors"
waste-management,Waste stream management,"characterization, quantity, and disposal routing of generated waste streams"
water-401,Water quality certification (401),"Clean Water Act Section 401 water-quality certification compliance"
water-lpdes,LPDES discharge and stormwater,"LPDES discharge permitting, inspection/maintenance schedules, and stormwater pollution prevention"
wetlands-404,Wetlands and Section 404 impacts,"wetland delineation, impact acreage, and Section 404 permitting"
portable-source-siting,Portable and unfixed-location source siting,"siting, location definition, event-based operation, and enforceability for sources with no fixed location"
class-vi-uic,Class VI UIC-specific technical and financial requirements,"AOR delineation and corrective action, pressure-front vs. leased-acreage containment, fault-transmissivity and subsidence risk framing, PISC/closure financial-instrument adequacy against the state rule's named instruments, and redaction/exemption transparency specific to Class VI CO2 sequestration wells"
cultural-sacred-resources,"Cultural, sacred, and burial resources","churches, cemeteries, burial grounds, archaeological sites and other cultural resources in and around the project area, and the consultation owed to the communities attached to them"
