id,project,question,level,regulators,permit_types
RB-001,River Birch,"The application proposes increasing intake from approximately 1.3 million tons per year to 2.6 million wet tons per year (50,000 wet tons/week). What specific emissions, leachate, traffic, and odor modeling has been done at the 2.6M-ton level — not at current levels?",S,LDEQ,Solid Waste
RB-002,River Birch,"River Birch is currently permitted to accept waste from 13 Louisiana parishes. The application proposes accepting waste from 'all parishes and U.S. states' — i.e., 64 parishes and 50 states. What evidence supports the need for such a dramatic service-area expansion?",S,LDEQ,Solid Waste
RB-003,River Birch,"River Birch spokesman William Kearney publicly stated (nola.com, 3/22/2026) that accepting out-of-state municipal waste 'is not even a consideration and just completely off the table.' If true, why does the application explicitly request authority to accept waste from all 50 states, and will River Birch withdraw and revise the application to reflect the publicly stated intent?",S,LDEQ,Solid Waste
RB-004,River Birch,"River Birch's air permit application (EDMS 14829297, page 271) projects annual waste acceptance of exactly 2,066,307 tons each year from 2025 through 2031. How is that flat projection consistent with a solid waste application proposing 2.6M wet tons/year and a 5x expansion of service area?",S,LDEQ,Air / Solid Waste
RB-005,River Birch,"Surface emissions monitoring data on file (EDMS 15157587) show a methane reading exceeding 434,000 ppm at a surface liner, with 61 areas exceeding 500 ppm in Q3 2025 and 47 areas exceeding 500 ppm in Q4 2025. What is the root cause of these exceedances and what corrective action has been taken?",S,LDEQ,Solid Waste
RB-006,River Birch,"The adjacent Jefferson Parish (Kelvin) Landfill has not accepted waste since August 2023 and will not resume until 2027 — meaning it cannot account for the methane signal. Has LDEQ independently confirmed that the methane plume observed in carbon-mapper.org data over this site is attributable to River Birch?",S,LDEQ,Air / Solid Waste
RB-007,River Birch,"Given current, documented methane exceedances at hundreds of points across multiple quarters, what is the technical basis for concluding that doubling intake will not worsen these emissions?",S,LDEQ,Solid Waste
RB-008,River Birch,"LAC 33:VII.709.5 requires a description of total existing land use within 3 miles. This description was NOT submitted with the major modification application. Why was the application deemed technically complete on 12/5/2025 in the absence of this required element?",S,LDEQ,Solid Waste
RB-009,River Birch,"The LDOTD letter dated 10/17/2025 (Bao Long Le, P.E.) states only that LDOTD has 'no objections to the continued operation of the landfill.' The previous LDOTD evaluation was conducted 2/12/2018. Has LDOTD been informed that the application proposes doubling intake and a 5x service-area expansion, and is LDOTD's concurrence based on that updated scope?",S,LDOTD,Solid Waste
RB-010,River Birch,"The 2018 traffic study predates the Live Oak subdivision (250 homes, built 2021–present) and the Water Oaks subdivision (200 homesites currently in development, 1,500 feet from the River Birch property line). Will LDEQ require a new traffic impact study that includes these subdivisions and the proposed entrance at Live Oak and South Kenner Avenue?",S,LDOTD,Solid Waste
RB-011,River Birch,"Will the modified permit require River Birch to fund dust mitigation, truck-washing stations, and road maintenance on US 90, Live Oak, and South Kenner Avenue commensurate with the projected truck volume?",S,LDOTD,Solid Waste
RB-012,River Birch,"The application does not describe how waste from 'all parishes and U.S. states' would actually be transported (truck, rail, barge, or combination). Will River Birch be required to specify transport modes, quantify tonnage by mode, and address emissions at every transfer point — including rail-car unloading?",S,LDEQ,Solid Waste
RB-013,River Birch,"If rail transport is contemplated, what is the planned rail route and what are the air-quality, noise, and odor impacts along the Huey P. Long bridge corridor and adjacent neighborhoods?",S,LDEQ,Air / Solid Waste
RB-014,River Birch,"The current Odor Management Plan (EDMS 14919015) is the subject of numerous odor complaints. Why is this plan being relied on for an application that proposes doubling intake and accepting longer-aged waste from out of state?",S,LDEQ,Solid Waste
RB-015,River Birch,"The Inclement Weather Procedures (EDMS 14919015, Section 2.5) do not address a Katrina-scale event that renders the New Orleans area uninhabitable for weeks or months. If River Birch is accepting waste from all 50 states, what is the plan when the host community cannot staff or access the facility?",S,LDEQ,Solid Waste
RB-016,River Birch,"The River Birch site is located along the north-south flightpath of Louis Armstrong New Orleans International Airport (MSY). A February 10, 2026 Times-Picayune photo of land slated for River Birch expansion shows a large concentration of birds. What is the documented bird-strike risk and what bird-deterrence program is in place, beyond simple distance from runway threshold?",F,FAA,Solid Waste
RB-017,River Birch,"In 1995, the FAA and the New Orleans International Airport formally objected to the original River Birch landfill on bird-strike grounds (FAA Order 5200.5A). Have the FAA and the MSY airport operator been formally re-consulted on this major modification, and are their current responses in the record?",F,FAA,Solid Waste
RB-018,River Birch,"The proposed modification incorporates the adjacent Greater New Orleans Landfill into the River Birch footprint. What is the closure/cap status of the GNOL footprint, and how will historical contamination, leachate, and gas from GNOL be addressed under the combined permit?",S,LDEQ,Solid Waste
RB-019,River Birch,"The 1996 denial letter (Secretary Kucharski, EDMS 279821) specifically noted that River Birch was 'contiguous to the Greater New Orleans Landfill' and to the Kelvin Landfill, with at least seven other landfills within five miles, and concluded that 'a disproportionate burden has been borne by adjacent communities.' What has materially changed in the past 30 years that would justify a different conclusion now?",S,LDEQ,Solid Waste
RB-020,River Birch,"The application adds Type III C&D debris acceptance. What is the projected C&D tonnage, where will it be placed within the footprint, and how will asbestos-containing materials, treated wood, and other regulated C&D components be screened and managed?",S,LDEQ,Solid Waste
RB-021,River Birch,"River Birch requests use of a geomembrane-supported geosynthetic clay liner in lieu of the standard liner or the previously-approved alternative. Has the technical demonstration been independently reviewed, and how does the alternative liner perform under the increased leachate head expected at 2.6M wet tons/year?",S,LDEQ,Solid Waste
RB-022,River Birch,"The Fact Sheet discloses three solid-waste enforcement actions and two multi-media enforcement actions in the past four years, including SE-CN-22-003414 (monitoring well construction, cover application, unauthorized waste), MM-CN-23-002255 (leachate migration), SE-N-24-002896 (failure to notify of a fire), and settlement SA-MM-25-00518 (issued 11/13/2025). What permanent corrective actions have been taken for each, and what is the current verified compliance status?",S,LDEQ,Solid Waste
RB-023,River Birch,"Notice of Violation SE-N-24-00289 was returned as 'lost in transit' by USPS. Has River Birch since been served with this NOV, and what is its status?",S,LDEQ,Solid Waste
RB-024,River Birch,"What was the cause of the January 2025 fire at the facility (SE-N-24-002896), and what fire-prevention measures have been added to the operations plan as a result?",S,State Fire Marshal,Solid Waste
